index,2022,2050,Type,state,Retire,Remaining,Mismatch_1Y,Mismatch_5Y,Mismatch_10Y,MismatchMult_1y,MismatchMult_5y,MismatchMult_10y
Agriculture,0.5391274038124743,0.9552320576257725,1,AL,0.38781403818549004,0.15131336562698422,0.8039186919987882,0.7198923328039499,0.6366765319017429,1.4911478925274901,1.335291672642097,1.1809389161067378
Mining,0.0,0.0,1,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Construction,0.0,0.0,1,AL,0.0,0.0,0.0,1.619839398698075,2.921369530366848,0.0,inf,inf
Manufacturing,4.770610992678633,4.381072729067833,1,AL,3.2886899721287786,1.4819210205498545,2.8991517085179788,2.8836457510264712,2.832245299915495,0.6077107760341919,0.6044604675275238,0.5936860717132645
Fabricated Metals,7.562336419156282e-05,0.0006056967193229273,1,AL,5.321644146813679e-05,2.240692272342603e-05,0.0005832897965995013,0.00047013702002334656,0.00036132662047175,7.713089768420776,6.216822341207071,4.777976017523731
Machinery,15.703655868466738,15.150331138628621,1,AL,11.301263454058969,4.402392414407769,10.747938724220852,11.02255141713499,11.258902971201717,0.6844227111346048,0.7019098934324267,0.7169606278630841
Electrical Equipment,7.601964797022882,34.37744007297557,1,AL,5.5349019053548245,2.0670628916680576,32.31037718130751,26.16374028658914,20.30386486538219,4.250266614489067,3.4417076354833305,2.670870677187783
TCPU,5.11380477102489,3.8216595245076133,1,AL,3.398494822205333,1.7153099488195571,2.106349575688056,2.1715994242153593,2.1716114967001054,0.411894796536378,0.42465434670477953,0.42465670746849393
Wholesale Trade,1.2302623357385012,1.0932804921458363,1,AL,0.8659250111587423,0.36433732457975887,0.7289431675660775,0.7438248738041954,0.7528608779652574,0.5925103503461381,0.6046067185806291,0.611951496924703
Retail Trade,3.3429209326978384,3.8879429939717354,1,AL,1.7987940858481688,1.5441268468496696,2.343816147122066,2.1883110172429925,2.016596443711734,0.7011282032418683,0.6546104623171447,0.6032438350506482
FIRE,0.0,0.0,1,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misc. Services,46.75455944063275,36.73679664353568,1,AL,29.23509989443151,17.519459546201237,19.217337097334447,21.575522319653185,23.553453188192005,0.411025947570652,0.461463493139081,0.5037680489343361
Professional Services,0.0,0.0,1,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Government,0.8778665933687314,0.7330014610291271,1,AL,0.6590515329163634,0.21881506045236798,0.5141864005767591,0.6726360784627233,0.8005308250490961,0.5857227105585788,0.7662167390167394,0.9119048738113311
Agriculture,0.27346174658047273,0.48452262864171336,2,AL,0.1967110250391179,0.07675072154135484,0.4077719071003585,0.3651511929950686,0.3229416186033989,1.4911478925274901,1.3352916726420967,1.1809389161067378
Mining,2375.3672827947826,993.2346980915931,2,AL,1689.9379176102184,685.4293651845642,307.80533290702897,528.8166623399629,707.9122712924425,0.12958220614408517,0.22262521933777493,0.2980222369904561
Construction,0.0,0.0,2,AL,0.0,0.0,0.0,37.51790424197072,67.66328957290882,0.0,inf,inf
Manufacturing,39.6323691201684,36.39623767420778,2,AL,27.321149240051692,12.311219880116706,24.085017794091076,23.956200367600392,23.529185535642863,0.6077107760341918,0.6044604675275239,0.5936860717132645
Fabricated Metals,0.0006282493140498326,0.00503189130111879,2,AL,0.00044210136914617844,0.00018614794490365413,0.004845743356215136,0.003905714371433018,0.0030017601555558347,7.713089768420779,6.216822341207073,4.777976017523731
Machinery,130.45982723603257,125.86302192746379,2,AL,93.88647395960635,36.57335327642622,89.28966865103757,91.57104343245643,93.53455964605538,0.6844227111346048,0.7019098934324268,0.7169606278630841
Electrical Equipment,63.15414845949745,285.59431831050097,2,AL,45.98179891288462,17.17234954661283,268.4219687638881,217.35811496550022,168.6765632632357,4.250266614489067,3.441707635483331,2.670870677187782
TCPU,5149.783737040307,3848.547402381604,2,AL,3422.4054592332673,1727.3782778070395,2121.1691245745646,2186.878048523749,2186.8902059463326,0.41189479653637784,0.4246543467047794,0.4246567074684938
Wholesale Trade,231.01057874849894,205.28902811077864,2,AL,162.5977095856575,68.41286916284145,136.8761589479372,139.67054797454193,141.36726947058594,0.592510350346138,0.604606718580629,0.6119514969247031
Retail Trade,116.99370716447298,136.06808933461787,2,AL,62.95320552468735,54.04050163978563,82.02758769483223,76.58530473513234,70.57573258668917,0.7011282032418683,0.654610462317145,0.6032438350506482
FIRE,391.89363585702426,357.6255323093749,2,AL,282.12687761791,109.76675823911427,247.8587740702606,266.52545531112463,281.76940169737253,0.6324644020519069,0.6800964111812265,0.7189945840308857
Misc. Services,129.9808689890161,102.13080411254357,2,AL,81.27557471873963,48.70529427027647,53.425509842267104,59.9814258449246,65.48020876938618,0.41102594757065186,0.46146349313908086,0.503768048934336
Professional Services,200.9006803906568,196.03797151305324,2,AL,132.68086914838764,68.21981124226915,127.81816027078409,128.9701398189863,129.3387004062006,0.6362256216466675,0.6419596965435875,0.6437942378029681
Government,5.075493536543643,4.237937980364313,2,AL,3.81038738782622,1.265106148717423,2.97283183164689,3.8889281064710075,4.628367292972056,0.5857227105585788,0.7662167390167393,0.9119048738113309
Agriculture,0.06264843990441832,0.11100121740010388,3,AL,0.04506531163792291,0.017583128266495406,0.09341808913360847,0.08365394010838859,0.07398398071650186,1.4911478925274897,1.3352916726420963,1.1809389161067376
Mining,65.58723695610021,27.4246092251082,3,AL,46.66156659065836,18.925670365441853,8.498938859666346,14.601373013110432,19.546455075680107,0.12958220614408528,0.22262521933777502,0.2980222369904562
Construction,0.0,0.0,3,AL,0.0,0.0,0.0,32.245655435962995,58.1548240850566,0.0,inf,inf
Manufacturing,18.29847089321431,16.804332178191306,3,AL,12.614316661777345,5.684154231436967,11.120177946754339,11.060702271151111,10.863547302951918,0.6077107760341918,0.6044604675275239,0.5936860717132647
Fabricated Metals,0.00029006597490969957,0.0023232503772903194,3,AL,0.00020412050086238116,8.594547404731841e-05,0.002237304903243001,0.0018032886332426305,0.0013859282716181846,7.713089768420775,6.216822341207073,4.77797601752373
Machinery,60.23398056709879,58.11161165481962,3,AL,43.34787319444204,16.886107372656753,41.225504282162866,42.27882688086317,43.18539252607995,0.684422711134605,0.7019098934324267,0.716960627863084
Electrical Equipment,29.158598716819256,131.8603817255192,3,AL,21.230035642680686,7.9285630741385695,123.93181865138064,100.35537184367128,77.87884630063786,4.2502666144890675,3.4417076354833305,2.6708706771877826
TCPU,1115.3700434430875,833.5407276450366,3,AL,741.2444329048127,374.1256105382748,459.4151171067617,473.6467371324061,473.6493702575326,0.4118947965363781,0.4246543467047797,0.42465670746849393
Wholesale Trade,66.05319124235943,58.69859080575752,3,AL,46.49179992109275,19.561391321266683,39.137199484490836,39.93620320882167,40.42134925741554,0.5925103503461379,0.6046067185806289,0.6119514969247031
Retail Trade,13.39509075314752,15.578995224779625,3,AL,7.207771440383978,6.187319312763541,9.391675912016083,8.768566550698008,8.080505916780186,0.7011282032418682,0.6546104623171447,0.6032438350506483
